season,flash_team,flash_name,final_status,player_slug,identity_season_club_path,identity_clubs_all,identity_seasons_all,identity_in_target_club,match_method,risk_level,evidence,user_decision
2023/24,Widzew Łódź,Hansen K.,matched_auto_transfer_candidate,kristoffer-hansen,2024/25:jagiellonia-bialystok,jagiellonia-bialystok,2024/25,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2023/24,ŁKS Łódź,Monsalve N.,matched_manual_review,ignacio-monsalve-vicente,2023/24:lks-lodz,lks-lodz,2023/24,1.0,manual_accept_review_needed_nacho_ignacio,HIGH,manual_review — subiektywna decyzja AI,
2024/25,Cracovia,Burek J.,matched_auto_transfer_candidate,jakub-burek,2025/26:wisla-plock,wisla-plock,2025/26,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2024/25,GKS Katowice,Drachal D.,matched_auto_transfer_candidate,dawid-drachal,2023/24:rakow-czestochowa | 2024/25:rakow-czestochowa | 2025/26:jagiellonia-bialystok,jagiellonia-bialystok | rakow-czestochowa,2023/24 | 2024/25 | 2025/26,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2024/25,GKS Katowice,Szymczak F.,matched_auto_transfer_candidate,filip-szymczak,2023/24:lech-poznan | 2025/26:lech-poznan,lech-poznan,2023/24 | 2025/26,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2024/25,Jagiellonia Białystok,Listkowski M.,matched_auto_transfer_candidate,marcin-listkowski,2024/25:zagebie-lubin,zagebie-lubin,2024/25,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2024/25,Jagiellonia Białystok,Semedo E.,matched_manual_review,lisandro-pedro-varela-semedo,2023/24:radomiak-radom,radomiak-radom,2023/24,0.0,manual_accept_review_needed,HIGH,manual_review — subiektywna decyzja AI,
2024/25,Lechia Gdańsk,Biegański J.,matched_auto_transfer_candidate,jan-marek-bieganski,2025/26:pogon-szczecin,pogon-szczecin,2025/26,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2024/25,Legia Warszawa,Sergio Barcia,matched_manual_review,sergio-barcia-laranxeira,2024/25:legia-warszawa,legia-warszawa,2024/25,1.0,manual_accept_review_needed,HIGH,manual_review — subiektywna decyzja AI,
2024/25,Piast Gliwice,Rosołek M.,matched_auto_transfer_candidate,maciej-rosoek,2023/24:legia-warszawa | 2024/25:legia-warszawa | 2025/26:gks-katowice,gks-katowice | legia-warszawa,2023/24 | 2024/25 | 2025/26,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2024/25,Puszcza Niepołomice,Lee Jin-Hyun,matched_manual_review,jin-hyun-lee,2023/24:puszcza-niepolomice | 2024/25:puszcza-niepolomice,puszcza-niepolomice,2023/24 | 2024/25,1.0,manual_accept_review_needed,HIGH,manual_review — subiektywna decyzja AI,
2024/25,Radomiak Radom,Burch M.,matched_auto_transfer_candidate,marco-burch,2023/24:legia-warszawa | 2024/25:legia-warszawa | 2025/26:legia-warszawa,legia-warszawa,2023/24 | 2024/25 | 2025/26,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2024/25,Radomiak Radom,Guilherme,matched_manual_review,guilherme-da-gama-zimovski,2023/24:radomiak-radom | 2024/25:radomiak-radom,radomiak-radom,2023/24 | 2024/25,1.0,manual_accept_review_needed,HIGH,manual_review — subiektywna decyzja AI,
2024/25,Radomiak Radom,Leandro,matched_manual_review,leandro-rossi-pereira,2023/24:radomiak-radom | 2024/25:radomiak-radom | 2025/26:radomiak-radom,radomiak-radom,2023/24 | 2024/25 | 2025/26,1.0,manual_accept_review_needed,HIGH,manual_review — subiektywna decyzja AI,
2024/25,Radomiak Radom,Pawłowski D.,matched_manual_review,bartomiej-radosaw-pawowski,2023/24:widzew-lodz | 2024/25:widzew-lodz | 2025/26:widzew-lodz,widzew-lodz,2023/24 | 2024/25 | 2025/26,0.0,manual_accept_review_high_confidence,HIGH,manual_review — subiektywna decyzja AI,
2024/25,Radomiak Radom,Rossi R.,matched_manual_review,leandro-rossi-pereira,2023/24:radomiak-radom | 2024/25:radomiak-radom | 2025/26:radomiak-radom,radomiak-radom,2023/24 | 2024/25 | 2025/26,1.0,manual_accept_review_needed,HIGH,manual_review — subiektywna decyzja AI,
2024/25,Radomiak Radom,Vagner,matched_manual_review,vagner-dias,2023/24:radomiak-radom | 2024/25:radomiak-radom,radomiak-radom,2023/24 | 2024/25,1.0,manual_accept_review_needed,HIGH,manual_review — subiektywna decyzja AI,
2024/25,Radomiak Radom,Zie Ouattara,matched_manual_review,zie-mohamed-ouattara,2024/25:radomiak-radom | 2025/26:radomiak-radom,radomiak-radom,2024/25 | 2025/26,1.0,manual_accept_review_needed,HIGH,manual_review — subiektywna decyzja AI,
2024/25,Raków Częstochowa,Adriano,matched_manual_review,adriano-luis-amorim-santos,2024/25:rakow-czestochowa | 2025/26:rakow-czestochowa,rakow-czestochowa,2024/25 | 2025/26,1.0,manual_accept_review_needed,HIGH,manual_review — subiektywna decyzja AI,
2024/25,Raków Częstochowa,Basse A.,matched_auto_transfer_candidate,adam-basse,2024/25:slask-wroclaw,slask-wroclaw,2024/25,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2024/25,Raków Częstochowa,Czyż S.,matched_auto_transfer_candidate,szymon-czyz,2024/25:widzew-lodz | 2025/26:widzew-lodz,widzew-lodz,2024/25 | 2025/26,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2024/25,Raków Częstochowa,Rocha L.,matched_manual_review,jean-carlos-silva-rocha,2023/24:rakow-czestochowa | 2024/25:rakow-czestochowa | 2025/26:rakow-czestochowa,rakow-czestochowa,2023/24 | 2024/25 | 2025/26,1.0,manual_accept_review_needed,HIGH,manual_review — subiektywna decyzja AI,
2024/25,Stal Mielec,Krykun S.,matched_auto_transfer_candidate,serhij-krykun,2023/24:piast-gliwice | 2024/25:piast-gliwice,piast-gliwice,2023/24 | 2024/25,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2024/25,Stal Mielec,Kądzior D.,matched_auto_transfer_candidate,damian-kadzior,2023/24:piast-gliwice | 2024/25:piast-gliwice,piast-gliwice,2023/24 | 2024/25,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2025/26,Cracovia,Skovgaard A.,matched_manual_review,andreas-skovgaard-larsen,2023/24:cracovia | 2024/25:cracovia,cracovia,2023/24 | 2024/25,0.0,manual_accept_review_high_confidence,HIGH,manual_review — subiektywna decyzja AI,
2025/26,GKS Katowice,Jirka E.,matched_auto_transfer_candidate,erik-jirka,2024/25:piast-gliwice | 2025/26:piast-gliwice,piast-gliwice,2024/25 | 2025/26,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2025/26,GKS Katowice,Shkurin I.,matched_auto_transfer_candidate,ilya-shkurin,2023/24:stal-mielec | 2024/25:legia-warszawa | 2025/26:legia-warszawa,legia-warszawa | stal-mielec,2023/24 | 2024/25 | 2025/26,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2025/26,GKS Katowice,Wdowiak M.,matched_auto_transfer_candidate,mateusz-wdowiak,2023/24:zagebie-lubin | 2024/25:zagebie-lubin | 2025/26:zagebie-lubin,zagebie-lubin,2023/24 | 2024/25 | 2025/26,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2025/26,Górnik Zabrze,Rakoczy M.,matched_auto_transfer_candidate,micha-miosz-rakoczy,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,cracovia,2023/24 | 2024/25 | 2025/26,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2025/26,Jagiellonia Białystok,Costa S. T.,matched_manual_review,tomas-costa-silva,2024/25:jagiellonia-bialystok,jagiellonia-bialystok,2024/25,0.0,manual_accept_review_high_confidence,HIGH,manual_review — subiektywna decyzja AI,
2025/26,Jagiellonia Białystok,Konstantopoulos A.,matched_auto_transfer_candidate,apostolos-chrysovalantis-konstantopoulos,2025/26:rakow-czestochowa,rakow-czestochowa,2025/26,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2025/26,Jagiellonia Białystok,Szmyt K.,matched_auto_transfer_candidate,kajetan-szmyt,2023/24:warta-poznan | 2024/25:zagebie-lubin | 2025/26:zagebie-lubin,warta-poznan | zagebie-lubin,2023/24 | 2024/25 | 2025/26,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2025/26,Lech Poznań,Baranski B.,matched_auto_transfer_candidate,bartomiej-pawe-baranski,2023/24:ruch-chorzow,ruch-chorzow,2023/24,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2025/26,Lech Poznań,Bąkowski K.,matched_auto_transfer_candidate,krzysztof-maciej-bakowski,2023/24:radomiak-radom,radomiak-radom,2023/24,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2025/26,Lech Poznań,Ismaheel T.,matched_auto_transfer_candidate,taofeek-ajibade-ismaheel,2024/25:gornik-zabrze | 2025/26:gornik-zabrze,gornik-zabrze,2024/25 | 2025/26,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2025/26,Legia Warszawa,Gual M.,matched_manual_review,marc-gual-huguet,2023/24:legia-warszawa | 2024/25:legia-warszawa,legia-warszawa,2023/24 | 2024/25,0.0,manual_accept_review_high_confidence,HIGH,manual_review — subiektywna decyzja AI,
2025/26,Raków Częstochowa,Mądrzyk J.,matched_auto_transfer_candidate,jakub-madrzyk,2024/25:stal-mielec,stal-mielec,2024/25,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2025/26,Raków Częstochowa,Pieńko T.,matched_auto_transfer_candidate,tomasz-pienko,2023/24:zagebie-lubin | 2024/25:zagebie-lubin | 2025/26:zagebie-lubin,zagebie-lubin,2023/24 | 2024/25 | 2025/26,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2025/26,Raków Częstochowa,Silva J. C.,matched_manual_review,jean-carlos-silva-rocha,2023/24:rakow-czestochowa | 2024/25:rakow-czestochowa | 2025/26:rakow-czestochowa,rakow-czestochowa,2023/24 | 2024/25 | 2025/26,1.0,manual_accept_review_needed,HIGH,manual_review — subiektywna decyzja AI,
2025/26,Widzew Łódź,Kapuadi S.,matched_auto_transfer_candidate,steve-nkanu-kapuadi,2023/24:legia-warszawa | 2024/25:legia-warszawa | 2025/26:legia-warszawa,legia-warszawa,2023/24 | 2024/25 | 2025/26,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2025/26,Wisła Płock,Gallapeni D.,matched_auto_transfer_candidate,dion-gallapeni,2025/26:widzew-lodz,widzew-lodz,2025/26,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2023/24,Górnik Zabrze,Szromnik M.,matched_auto_same_club_history,micha-szromnik,2024/25:gornik-zabrze,gornik-zabrze,2024/25,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2024/25:gornik-zabrze),
2023/24,Górnik Zabrze,Tobolik A.,matched_auto_same_club_history,aleksander-tobolik,2024/25:gornik-zabrze,gornik-zabrze,2024/25,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2024/25:gornik-zabrze),
2023/24,Górnik Zabrze,Zielonka N.,matched_auto_same_club_history,nikodem-zielonka,2024/25:gornik-zabrze,gornik-zabrze,2024/25,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2024/25:gornik-zabrze),
2023/24,Jagiellonia Białystok,Abramowicz S.,matched_auto_same_club_history,sawomir-abramowicz,2024/25:jagiellonia-bialystok | 2025/26:jagiellonia-bialystok,jagiellonia-bialystok,2024/25 | 2025/26,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2024/25:jagiellonia-bialystok | 2025/26:jagiellonia-bialystok),
2023/24,Jagiellonia Białystok,Hansen K.,matched_auto_same_club_history,kristoffer-hansen,2024/25:jagiellonia-bialystok,jagiellonia-bialystok,2024/25,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2024/25:jagiellonia-bialystok),
2023/24,Korona Kielce,Chojecki A.,matched_auto_same_club_history,adam-chojecki,2024/25:korona-kielce,korona-kielce,2024/25,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2024/25:korona-kielce),
2023/24,Korona Kielce,Mamla R.,matched_auto_same_club_history,rafa-mamla,2024/25:korona-kielce,korona-kielce,2024/25,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2024/25:korona-kielce),
2023/24,Lech Poznań,Douglas B.,matched_auto_same_club_history,alex-raymond-douglas,2024/25:lech-poznan | 2025/26:lech-poznan,lech-poznan,2024/25 | 2025/26,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2024/25:lech-poznan | 2025/26:lech-poznan),
2023/24,Lech Poznań,Lisman K.,matched_auto_same_club_history,kornel-lisman,2024/25:lech-poznan | 2025/26:lech-poznan,lech-poznan,2024/25 | 2025/26,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2024/25:lech-poznan | 2025/26:lech-poznan),
2023/24,Lech Poznań,Monka W.,matched_auto_same_club_history,wojciech-monka,2024/25:lech-poznan | 2025/26:lech-poznan,lech-poznan,2024/25 | 2025/26,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2024/25:lech-poznan | 2025/26:lech-poznan),
2023/24,Legia Warszawa,Szczepaniak M.,matched_auto_same_club_history,mateusz-szczepaniak,2024/25:legia-warszawa,legia-warszawa,2024/25,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2024/25:legia-warszawa),
2023/24,Puszcza Niepołomice,Klisiewicz L.,matched_auto_same_club_history,lucjan-klisiewicz,2024/25:puszcza-niepolomice,puszcza-niepolomice,2024/25,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2024/25:puszcza-niepolomice),
2023/24,Radomiak Radom,Koptas W.,matched_auto_same_club_history,wiktor-koptas,2024/25:radomiak-radom,radomiak-radom,2024/25,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2024/25:radomiak-radom),
2023/24,Raków Częstochowa,Walczak T.,matched_auto_same_club_history,tomasz-walczak,2024/25:rakow-czestochowa,rakow-czestochowa,2024/25,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2024/25:rakow-czestochowa),
2023/24,Zagłębie Lubin,Orlikowski I.,matched_auto_same_club_history,igor-orlikowski,2024/25:zagebie-lubin | 2025/26:zagebie-lubin,zagebie-lubin,2024/25 | 2025/26,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2024/25:zagebie-lubin | 2025/26:zagebie-lubin),
2024/25,GKS Katowice,Strączek R.,matched_auto_same_club_history,rafa-straczek,2025/26:gks-katowice,gks-katowice,2025/26,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2025/26:gks-katowice),
2024/25,Górnik Zabrze,Barczak N.,matched_auto_same_club_history,norbert-barczak,2023/24:gornik-zabrze,gornik-zabrze,2023/24,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2023/24:gornik-zabrze),
2024/25,Górnik Zabrze,Krawczyk P.,matched_auto_same_club_history,piotr-krawczyk,2023/24:gornik-zabrze | 2025/26:wisla-plock,gornik-zabrze | wisla-plock,2023/24 | 2025/26,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2023/24:gornik-zabrze | 2025/26:wisla-plock),
2024/25,Jagiellonia Białystok,Olszewski P.,matched_auto_same_club_history,pawe-olszewski,2023/24:jagiellonia-bialystok,jagiellonia-bialystok,2023/24,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2023/24:jagiellonia-bialystok),
2024/25,Jagiellonia Białystok,Piekutowski M.,matched_auto_same_club_history,miosz-piekutowski,2025/26:jagiellonia-bialystok,jagiellonia-bialystok,2025/26,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2025/26:jagiellonia-bialystok),
2024/25,Lech Poznań,Bednarek F.,matched_auto_same_club_history,filip-bednarek,2023/24:lech-poznan,lech-poznan,2023/24,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2023/24:lech-poznan),
2024/25,Lech Poznań,Szymczak F.,matched_auto_same_club_history,filip-szymczak,2023/24:lech-poznan | 2025/26:lech-poznan,lech-poznan,2023/24 | 2025/26,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2023/24:lech-poznan | 2025/26:lech-poznan),
2024/25,Piast Gliwice,Szymański K.,matched_auto_same_club_history,karol-szymanski,2023/24:piast-gliwice | 2025/26:piast-gliwice,piast-gliwice,2023/24 | 2025/26,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2023/24:piast-gliwice | 2025/26:piast-gliwice),
2024/25,Pogoń Szczecin,Kamiński K.,matched_auto_same_club_history,krzysztof-kaminski,2023/24:ruch-chorzow | 2025/26:pogon-szczecin,pogon-szczecin | ruch-chorzow,2023/24 | 2025/26,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2023/24:ruch-chorzow | 2025/26:pogon-szczecin),
2024/25,Pogoń Szczecin,Wawrzynowicz S.,matched_auto_same_club_history,stanisaw-wawrzynowicz,2023/24:pogon-szczecin,pogon-szczecin,2023/24,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2023/24:pogon-szczecin),
2024/25,Pogoń Szczecin,Wojciechowski M.,matched_auto_same_club_history,maciej-wojciechowski,2025/26:pogon-szczecin,pogon-szczecin,2025/26,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2025/26:pogon-szczecin),
2024/25,Puszcza Niepołomice,Gil F.,matched_auto_same_club_history,filip-gil,2023/24:puszcza-niepolomice,puszcza-niepolomice,2023/24,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2023/24:puszcza-niepolomice),
2024/25,Radomiak Radom,Kaput M.,matched_auto_same_club_history,micha-kaput,2023/24:radomiak-radom | 2025/26:radomiak-radom,radomiak-radom,2023/24 | 2025/26,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2023/24:radomiak-radom | 2025/26:radomiak-radom),
2024/25,Radomiak Radom,Snopczynski J.,matched_auto_same_club_history,jakub-snopczynski,2023/24:radomiak-radom,radomiak-radom,2023/24,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2023/24:radomiak-radom),
2024/25,Raków Częstochowa,Kuciak D.,matched_auto_same_club_history,dusan-kuciak,2023/24:rakow-czestochowa,rakow-czestochowa,2023/24,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2023/24:rakow-czestochowa),
2024/25,Stal Mielec,Cetnar A.,matched_auto_same_club_history,alex-cetnar,2023/24:stal-mielec,stal-mielec,2023/24,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2023/24:stal-mielec),
2024/25,Stal Mielec,Pajnowski K.,matched_auto_same_club_history,kamil-pajnowski,2023/24:stal-mielec,stal-mielec,2023/24,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2023/24:stal-mielec),
2024/25,Widzew Łódź,Krzywanski J.,matched_auto_same_club_history,jan-krzywanski,2023/24:widzew-lodz,widzew-lodz,2023/24,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2023/24:widzew-lodz),
2024/25,Zagłębie Lubin,Kocaba F.,matched_auto_same_club_history,filip-kocaba,2023/24:zagebie-lubin | 2025/26:zagebie-lubin,zagebie-lubin,2023/24 | 2025/26,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2023/24:zagebie-lubin | 2025/26:zagebie-lubin),
2025/26,Cracovia,Janasik P.,matched_auto_same_club_history,patryk-janasik,2023/24:slask-wroclaw | 2024/25:cracovia,cracovia | slask-wroclaw,2023/24 | 2024/25,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2023/24:slask-wroclaw | 2024/25:cracovia),
2025/26,Cracovia,Jugas J.,matched_auto_same_club_history,jakub-jugas,2023/24:cracovia | 2024/25:cracovia,cracovia,2023/24 | 2024/25,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2023/24:cracovia | 2024/25:cracovia),
2025/26,GKS Katowice,Jaroszek B.,matched_auto_same_club_history,bartosz-jaroszek,2024/25:gks-katowice,gks-katowice,2024/25,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2024/25:gks-katowice),
2025/26,GKS Katowice,Marzec M.,matched_auto_same_club_history,mateusz-marzec,2024/25:gks-katowice,gks-katowice,2024/25,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2024/25:gks-katowice),
2025/26,Korona Kielce,Bąk D.,matched_auto_same_club_history,daniel-bak,2023/24:korona-kielce | 2024/25:korona-kielce,korona-kielce,2023/24 | 2024/25,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2023/24:korona-kielce | 2024/25:korona-kielce),
2025/26,Korona Kielce,Mamla R.,matched_auto_same_club_history,rafa-mamla,2024/25:korona-kielce,korona-kielce,2024/25,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2024/25:korona-kielce),
2025/26,Lech Poznań,Andersson E.,matched_auto_same_club_history,nils-erik-elias-andersson,2023/24:lech-poznan | 2024/25:lech-poznan,lech-poznan,2023/24 | 2024/25,0.0,review_auto_same_club_history,MED,same_club_history ale slug z innego sezonu (path: 2023/24:lech-poznan | 2024/25:lech-poznan),
